﻿KOMMUNE;KOMMUNENUMMER;Bolig-Norgespris;Bolig-alle;Bolig-andel;Fritid-Norgespris;Fritid-alle;Fritid-andel;incr_oct;incr_nov;incr_dec;incr_Q4;incr_jan;incr_feb;incr_mar;incr_Q1; okt_2025 ; nov_2025 ; des_2025 ; q4_2025 ;jan_2026;feb_2026;mar_2026; q1_2026 ;okt_2024;nov_2024;des_2024; q4_2024 ;jan_2025;feb_2025;mar_2025; q1_2025;Fylke;Region;incr_jan;;MUNICIPALITY_NUMBER;NAME;okt_2024;nov_2024;des_2024;jan_2024;feb_2024;mar_2024;apr_1_5_2024;sum_2024;okt_2025;nov_2025;des_2025;jan_2025;feb_2025;mar_2025;apr_1_5_2025;sum_2025;okt_2026;nov_2026;des_2026;jan_2026;feb_2026;mar_2026;apr_1_5_2026;sum_2026;sesong_2024_2025;sesong_2025_2026;sum_alle_valgte_perioder;;;;;;;
Tysvær;1146;3640;5235;0,7;1007;1327;76 %;5 %;5 %;1 %;4 %;22 %;20 %;13 %;19 %; 6 787 168 ; 8 451 106 ; 9 320 807 ; 24 559 080 ; 12 413 679 ; 10 514 620 ; 9 355 001 ; 32 283 301 ; 6 435 363 ; 8 076 060 ; 9 192 855 ; 23 704 277 ; 10 153 645 ; 8 774 941 ; 8 304 930 ; 27 233 516 ;Rogaland;NO2;0,14;0;1146;Tysvær;6435362,651;8076060,034;9192854,651;10823822,93;8874896,318;8363795,738;1275654,992;53042447,31;6787167,82;8451105,655;9320806,922;10153644,66;8774941,176;8304930,433;1089206,178;52881802,85;;;;12413679,29;10514620,49;9355000,847;1199590,385;33482891,01;52026999,79;58041971,41;139407141,2;;;;;;;
Karmøy;1149;13672;19844;0,69;623;902;69 %;5 %;5 %;1 %;3 %;20 %;19 %;12 %;18 %; 24 899 630 ; 30 913 992 ; 34 011 144 ; 89 824 766 ; 44 761 905 ; 38 552 518 ; 34 530 785 ; 117 845 207 ; 23 678 591 ; 29 529 820 ; 33 691 548 ; 86 899 959 ; 37 192 833 ; 32 280 555 ; 30 776 527 ; 100 249 915 ;Rogaland;NO2;0,137;0;1149;Karmøy;23678590,68;29529819,96;33691548,07;39539288,27;33350608;31469221,1;4884719,276;196143795,4;24899630,27;30913991,54;34011144,24;37192833,22;32280554,97;30776526,54;4070365,557;194145046,3;;;;44761904,71;38552518,1;34530784,65;4230237,131;122075444,6;191220239;211900210,6;512364286,3;;;;;;;
Utsira;1151;116;151;0,77;0;56;0 %;3 %;4 %;1 %;3 %;28 %;29 %;26 %;28 %; 160 931 ; 186 990 ; 209 188 ; 557 109 ; 291 936 ; 258 982 ; 236 221 ; 787 140 ; 155 689 ; 179 863 ; 207 161 ; 542 713 ; 228 729 ; 201 362 ; 187 116 ; 617 207 ;Rogaland;NO2;0,222;0;1151;Utsira;155689,222;179863,07;207160,821;243345,29;209233,23;223467,172;30001,62;1248760,425;160931,274;186990,484;209187,511;228729,098;201361,554;187116,273;24592,658;1198908,852;;;;291936,069;258982,115;236221,402;38622,239;825761,825;1184512,696;1382871,094;3273431,102;;;;;;;
Vindafjord;1160;2837;4352;0,65;890;1221;73 %;4 %;4 %;1 %;3 %;22 %;18 %;11 %;17 %; 5 799 580 ; 7 252 580 ; 7 974 053 ; 21 026 213 ; 10 783 140 ; 9 105 512 ; 7 993 383 ; 27 882 036 ; 5 553 205 ; 6 967 236 ; 7 932 229 ; 20 452 671 ; 8 839 822 ; 7 734 474 ; 7 187 218 ; 23 761 515 ;Rogaland;NO2;0,151;0;1160;Vindafjord;5553205,493;6967235,585;7932229,43;9476158,759;7746680,095;7260377,488;1093368,512;46029255,36;5799580,156;7252579,907;7974053,152;8839822,131;7734474,114;7187218,497;947029,157;45734757,11;;;;10783140,47;9105512,286;7993383,029;1069019,903;28951055,68;45161214,41;49977268,9;120715068,2;;;;;;;
Kristiansund;1505;126;12419;0,01;0;479;0 %;-5 %;-1 %;-4 %;-3 %;10 %;12 %;-6 %;6 %; 14 172 793 ; 17 590 660 ; 19 237 645 ; 51 001 098 ; 23 444 619 ; 20 048 628 ; 17 177 574 ; 60 670 821 ; 14 871 686 ; 17 749 759 ; 20 036 577 ; 52 658 023 ; 21 298 075 ; 17 822 333 ; 18 256 045 ; 57 376 453 ;Møre og Romsdal;NO3;0,033;0;1505;Kristiansund;14871686,12;17749759,26;20036577,35;21501405,77;19340458,69;16965062,64;3081153,61;113546103,4;14172793,14;17590660,48;19237644,81;21298074,98;17822332,81;18256045,38;2545891,979;110923443,6;;;;23444618,53;20048628,49;17177574,41;2174891,742;62845713,17;112580367,9;113846811,6;287315260,2;;;;;;;
Molde;1506;439;16341;0,03;0;1162;0 %;-1 %;2 %;1 %;0 %;16 %;15 %;-4 %;9 %; 19 773 880 ; 25 063 730 ; 28 141 293 ; 72 978 903 ; 34 364 702 ; 28 318 658 ; 23 563 692 ; 86 247 052 ; 20 053 838 ; 24 668 892 ; 27 991 758 ; 72 714 488 ; 29 687 346 ; 24 635 242 ; 24 592 764 ; 78 915 353 ;Møre og Romsdal;NO3;0,092;0;1506;Molde;20053838,21;24668891,55;27991757,91;29889230,05;26408320,62;22954848,51;4040822,79;156007709,6;19773879,95;25063730,34;28141293,14;29687346,4;24635242,35;24592763,87;3455841,251;155350097,3;;;;34364702,18;28318658,27;23563691,68;3159382,236;89406434,37;155085681,5;162385337,8;400764241,3;;;;;;;
Ålesund;1508;453;28199;0,02;0;1464;0 %;0 %;3 %;-1 %;0 %;12 %;15 %;-2 %;9 %; 33 876 167 ; 42 240 397 ; 45 638 335 ; 121 754 900 ; 55 793 139 ; 46 876 178 ; 40 960 654 ; 143 629 971 ; 34 027 679 ; 41 185 291 ; 46 134 890 ; 121 347 860 ; 49 625 985 ; 40 803 640 ; 41 901 150 ; 132 330 775 ;Møre og Romsdal;NO3;0,064;0;1508;Ålesund;34027679,16;41185291,44;46134889,9;49758006,69;43987148,22;39242343,22;6924679,608;261260038,2;33876167,24;42240397,21;45638335,2;49625984,75;40803640,24;41901150,22;5800791,287;259886466,2;;;;55793138,55;46876178,45;40960653,74;5436009,141;149065979,9;259479427;270820879,5;670212484,3;;;;;;;
Vanylven;1511;0;1667;0;0;302;0 %;1 %;2 %;-1 %;0 %;14 %;11 %;-1 %;8 %; 2 303 342 ; 2 789 545 ; 3 090 032 ; 8 182 919 ; 3 828 502 ; 3 176 171 ; 2 796 197 ; 9 800 871 ; 2 290 492 ; 2 732 209 ; 3 134 602 ; 8 157 302 ; 3 362 939 ; 2 861 809 ; 2 832 457 ; 9 057 206 ;Møre og Romsdal;NO3;0,078;0;1511;Vanylven;2290491,852;2732208,656;3134601,846;3375457,055;3025310,998;2826320,025;463733,4;17848123,83;2303342,131;2789544,611;3090031,921;3362939,422;2861809,341;2832457,184;400274,276;17640398,89;;;;3828502,465;3176171,328;2796196,879;406131,543;10207002,22;17614782,58;18389920,88;45695524,93;;;;;;;
Sande;1514;0;1280;0;0;242;0 %;-2 %;3 %;-2 %;-1 %;13 %;12 %;1 %;9 %; 1 749 848 ; 2 172 139 ; 2 368 439 ; 6 290 426 ; 2 915 159 ; 2 435 767 ; 2 222 587 ; 7 573 513 ; 1 789 633 ; 2 116 937 ; 2 424 845 ; 6 331 414 ; 2 583 874 ; 2 165 778 ; 2 199 907 ; 6 949 558 ;Møre og Romsdal;NO3;0,078;0;1514;Sande;1789633,108;2116936,682;2424844,64;2596351,072;2346181,393;2197944,545;375089,054;13846980,49;1749847,94;2172139,344;2368438,719;2583873,587;2165777,575;2199906,934;307906,663;13547890,76;;;;2915159,206;2435766,652;2222586,659;321221,84;7894734,357;13588879,19;14185160,36;35289605,61;;;;;;;
Herøy;1515;0;5188;0;0;1004;0 %;-2 %;3 %;-3 %;-1 %;11 %;11 %;-2 %;7 %; 6 192 874 ; 7 745 564 ; 8 462 281 ; 22 400 719 ; 10 235 754 ; 8 566 911 ; 7 720 156 ; 26 522 821 ; 6 326 002 ; 7 530 518 ; 8 734 315 ; 22 590 835 ; 9 194 762 ; 7 708 866 ; 7 907 486 ; 24 811 114 ;Møre og Romsdal;NO3;0,062;0;1515;Herøy;6326002,009;7530518,357;8734315,069;9120670,706;8209480,275;7556729,193;1336885,301;48814600,91;6192874,401;7745564,188;8462280,834;9194762,455;7708865,761;7907485,571;1089394,119;48301227,33;;;;10235754,31;8566910,951;7720155,849;1059849,33;27582670,44;48491343,34;49983389,86;124698498,7;;;;;;;
