KOMMUNE;KOMMUNENUMMER;Bolig-Norgespris;Bolig-alle;Bolig-andel;Fritid-Norgespris;Fritid-alle;Fritid-andel;incr_oct;incr_nov;incr_dec;incr_Q4; okt_2025 ; nov_2025 ; des_2025 ; q4_2025 ; okt_2024 ; nov_2024 ; des_2024 ; q4_2024 ;Fylke;Region
Oslo;301;167219;356582;0,47;0;160;0 %;0,015;-0,021;-0,047;-0,022;321200287;399692666;438162660;1159055613;316368451;408323671;459933198;1184625320;Oslo;NO1
Eigersund;1101;5156;6941;0,74;923;1124;82 %;0,04;0,031;0,025;0,031;8534497;10704353;11957164;31196014;8203693;10386535;11662156;30252385;Rogaland;NO2
Stavanger;1103;44912;68920;0,65;1475;1979;75 %;0,065;0,05;0,034;0,048;74993150;94237845;104139967;273370963;70385348;89714830;100674619;260774797;Rogaland;NO2
Haugesund;1106;12491;19524;0,64;0;156;0 %;0,065;0,062;0,022;0,047;19872315;24930399;27048936;71851651;18658286;23477893;26457828;68594008;Rogaland;NO2
Sandnes;1108;23517;35637;0,66;1881;2431;77 %;0,051;0,038;0,033;0,04;41963158;52368061;57824295;152155513;39939428;50437662;55983165;146360256;Rogaland;NO2
Sokndal;1111;1206;1671;0,72;271;346;78 %;0,034;0,034;0,043;0,038;1894271;2394623;2733225;7022119;1832165;2316699;2619287;6768151;Rogaland;NO2
Lund;1112;1042;1460;0,71;324;412;79 %;0,019;0,028;0,03;0,027;1818851;2293588;2595941;6708380;1784138;2230477;2519720;6534335;Rogaland;NO2
Bjerkreim;1114;714;1049;0,68;593;711;83 %;0,036;0,045;0,04;0,041;1878539;2341069;2646325;6865932;1813757;2241271;2543587;6598614;Rogaland;NO2
Hå;1119;5203;7579;0,69;438;523;84 %;0,043;0,038;0,019;0,032;9757554;11945835;13254447;34957837;9357141;11507983;13010921;33876046;Rogaland;NO2
Klepp;1120;4873;7577;0,64;114;158;72 %;0,035;0,035;0,022;0,03;10077176;12501686;13817574;36396436;9734056;12079825;13523199;35337080;Rogaland;NO2
Time;1121;6279;9030;0,7;0;15;0 %;0,063;0,056;0,048;0,055;10690998;13224358;14746532;38661888;10057341;12518415;14065896;36641652;Rogaland;NO2
Gjesdal;1122;3309;4968;0,67;516;638;81 %;0,04;0,03;0,013;0,026;6736380;8320272;9176985;24233637;6478529;8080748;9063218;23622496;Rogaland;NO2
Sola;1124;8080;12088;0,67;193;273;71 %;0,049;0,045;0,032;0,041;13324733;16621659;18357084;48303476;12700800;15902016;17785198;46388014;Rogaland;NO2
Randaberg;1127;3289;4897;0,67;106;128;83 %;0,047;0,038;0,022;0,035;6204883;7652392;8569661;22426936;5924501;7370344;8382516;21677361;Rogaland;NO2
Strand;1130;4128;5974;0,69;1241;1495;83 %;0,045;0,029;0,03;0,033;7772015;9691106;10843562;28306683;7434942;9422119;10532381;27389442;Rogaland;NO2
Hjelmeland;1133;931;1411;0,66;886;1068;83 %;0,019;0,004;0,024;0,016;2098740;2631661;2996155;7726556;2059104;2620269;2926475;7605847;Rogaland;NO2
Suldal;1134;1348;1977;0,68;1189;1494;80 %;0,019;0,017;0;0,011;2609929;3392650;3831941;9834521;2560379;3335008;3831941;9727329;Rogaland;NO2
Sauda;1135;1905;2525;0,75;640;752;85 %;0,017;0,012;-0,004;0,007;3033204;4024162;4614612;11671978;2981845;3975139;4632829;11589813;Rogaland;NO2
Kvitsøy;1144;191;336;0,57;103;128;80 %;0,017;0,014;-0,024;0;436806;524858;594757;1556421;429338;517595;609189;1556123;Rogaland;NO2
Bokn;1145;322;480;0,67;163;214;76 %;0,047;0,031;0,006;0,026;655016;794109;885520;2334645;625353;770284;880040;2275677;Rogaland;NO2
Tysvær;1146;3640;5235;0,7;1007;1327;76 %;0,054;0,045;0,014;0,035;6778128;8439276;9316189;24533594;6433864;8074033;9190492;23698388;Rogaland;NO2
Karmøy;1149;13672;19844;0,69;623;902;69 %;0,052;0,047;0,009;0,034;24900468;30910963;34007666;89819097;23674723;29524728;33690095;86889547;Rogaland;NO2
Utsira;1151;116;151;0,77;0;56;0 %;0,034;0,044;0,009;0,028;160931;187770;209043;557744;155689;179863;207161;542713;Rogaland;NO2
Vindafjord;1160;2837;4352;0,65;890;1221;73 %;0,042;0,039;0,005;0,027;5765174;7207465;7939313;20911951;5531524;6938878;7899906;20370308;Rogaland;NO2
Kristiansund;1505;126;12419;0,01;0;479;0 %;-0,047;-0,01;-0,041;-0,032;14171408;17570091;19219803;50961302;14871686;17749759;20036577;52658023;Møre og Romsdal;NO3
Molde;1506;439;16341;0,03;0;1162;0 %;-0,015;0,015;0,004;0,002;19758406;25033114;28104036;72895556;20056230;24670445;27987708;72714383;Møre og Romsdal;NO3
Ålesund;1508;453;28199;0,02;0;1464;0 %;-0,003;0,026;-0,011;0,004;33931415;42265898;45618243;121815556;34027780;41185162;46134884;121347826;Møre og Romsdal;NO3
Vanylven;1511;0;1667;0;0;302;0 %;0,006;0,021;-0,015;0,003;2302836;2788837;3088352;8180025;2290206;2731571;3134021;8155798;Møre og Romsdal;NO3
Sande;1514;0;1280;0;0;242;0 %;-0,021;0,028;-0,021;-0,005;1747805;2171604;2368503;6287912;1785267;2111869;2419719;6316854;Møre og Romsdal;NO3
Herøy;1515;0;5188;0;0;1004;0 %;-0,022;0,027;-0,03;-0,009;6178954;7724409;8457292;22360655;6320846;7523082;8715347;22559275;Møre og Romsdal;NO3
Ulstein;1516;0;3796;0;0;343;0 %;0,024;0,063;0,01;0,032;5403745;6702589;7254353;19360687;5275049;6306955;7179162;18761166;Møre og Romsdal;NO3
Hareid;1517;0;2408;0;0;161;0 %;0,015;0,043;0,017;0,026;3271586;4063913;4481697;11817197;3223156;3894745;4405383;11523283;Møre og Romsdal;NO3
Ørsta;1520;123;5322;0,02;0;633;0 %;0,025;0,01;0,003;0,011;7299367;9033809;10061577;26394753;7122165;8943892;10036181;26102238;Møre og Romsdal;NO3
Stranda;1525;0;2145;0;0;831;0 %;0,022;0,012;-0,004;0,008;3475274;4371618;4962585;12809477;3401553;4320442;4981229;12703225;Møre og Romsdal;NO3
Sykkylven;1528;0;3518;0;0;849;0 %;-0,015;-0,015;-0,027;-0,02;5062043;6293700;7028907;18384650;5139055;6390012;7224139;18753206;Møre og Romsdal;NO3
Sula;1531;0;4034;0;0;200;0 %;-0,012;0,009;-0,014;-0,006;5762284;7079468;7723087;20564840;5830757;7017093;7831393;20679244;Møre og Romsdal;NO3
Giske;1532;0;3686;0;0;215;0 %;-0,023;0,025;-0,025;-0,008;5182732;6391407;6925164;18499302;5305982;6233674;7104980;18644636;Møre og Romsdal;NO3
Vestnes;1535;0;3243;0;0;478;0 %;-0,023;-0,014;-0,006;-0,013;4850369;6028179;6824446;17702994;4965610;6112305;6862379;17940294;Møre og Romsdal;NO3
Rauma;1539;0;3690;0;0;640;0 %;0,001;-0,022;0;-0,007;4693873;5907422;6815137;17416432;4688488;6039038;6815137;17542663;Møre og Romsdal;NO3
Aukra;1547;0;1759;0;0;103;0 %;-0,029;-0,009;-0,04;-0,027;2639475;3202120;3519901;9361496;2719518;3232832;3667738;9620088;Møre og Romsdal;NO3
Averøy;1554;0;2654;0;0;687;0 %;-0,025;0,004;-0,023;-0,014;4181844;5021665;5579247;14782756;4288027;5000820;5708039;14996886;Møre og Romsdal;NO3
Gjemnes;1557;0;1266;0;0;554;0 %;-0,026;0;-0,005;-0,009;1940814;2399638;2718239;7058692;1991652;2398625;2731357;7121635;Møre og Romsdal;NO3
Tingvoll;1560;0;1448;0;0;1025;0 %;-0,024;-0,021;-0,026;-0,024;2434925;3002171;3443201;8880297;2495313;3068061;3535117;9098491;Møre og Romsdal;NO3
Sunndal;1563;129;3773;0,03;0;616;0 %;-0,018;-0,056;-0,062;-0,048;4424271;5481936;6032584;15938791;4505255;5807348;6433660;16746264;Møre og Romsdal;NO3
Surnadal;1566;0;2757;0;0;776;0 %;-0,018;-0,016;-0,012;-0,015;4142455;5226403;6123705;15492563;4220078;5309923;6200148;15730149;Møre og Romsdal;NO3
Smøla;1573;0;1042;0;0;638;0 %;-0,044;0,006;-0,035;-0,024;1726223;2094476;2335365;6156063;1805719;2082008;2420039;6307765;Møre og Romsdal;NO3
Aure;1576;0;1668;0;0;1365;0 %;-0,021;0,008;-0,023;-0,012;2813820;3379639;3737186;9930646;2873821;3352770;3826851;10053443;Møre og Romsdal;NO3
Volda;1577;114;5145;0,02;0;625;0 %;0,053;0,057;0,024;0,043;6920687;8670971;9499187;25090846;6573368;8207185;9275080;24055633;Møre og Romsdal;NO3
Fjord;1578;0;1392;0;0;896;0 %;0,016;-0,013;-0,008;-0,003;2191400;2707516;3088450;7987365;2155841;2743225;3114867;8013933;Møre og Romsdal;NO3
Hustadvika;1579;109;6359;0,02;0;867;0 %;-0,02;0,01;-0,01;-0,006;8374097;10230098;11375748;29979943;8544101;10131464;11490781;30166346;Møre og Romsdal;NO3
Haram;1580;0;4314;0;0;349;0 %;-0,041;-0,006;-0,042;-0,03;6311595;7704378;8392905;22408877;6584056;7750429;8764711;23099195;Møre og Romsdal;NO3
Bodø;1804;0;26041;0;0;2589;0 %;-0,016;0,084;-0,047;0,005;37707579;48575721;50829523;137112823;38303997;44814741;53360140;136478877;Nordland;NO4
Narvik;1806;0;11257;0;0;2296;0 %;0,015;0,109;-0,02;0,032;19113748;24540295;26400289;70054332;18828269;22121886;26940901;67891056;Nordland;NO4
Bindal;1811;0;771;0;0;274;0 %;-0,026;0,038;-0,062;-0,019;1226142;1578155;1717452;4521749;1258902;1519818;1829998;4608718;Nordland;NO4
Sømna;1812;0;988;0;0;205;0 %;-0,048;0,027;-0,068;-0,031;1720210;2184963;2341967;6247139;1807403;2127959;2513786;6449149;Nordland;NO4
Brønnøy;1813;0;3763;0;0;546;0 %;-0,009;0,063;-0,041;0,002;5549013;7155554;7627500;20332067;5600399;6733675;7957329;20291403;Nordland;NO4
Vega;1815;0;616;0;0;288;0 %;-0,051;0,03;-0,072;-0,033;979399;1257857;1349686;3586943;1032340;1221434;1454550;3708324;Nordland;NO4
Vevelstad;1816;0;269;0;0;136;0 %;-0,007;0,066;-0,034;0,007;427180;551336;584147;1562663;430307;517287;604835;1552429;Nordland;NO4
Herøy;1818;0;0;0;0;0;0 %;0,01;0,089;-0,051;0,012;1713334;2204216;2301061;6218611;1696222;2024420;2425923;6146565;Nordland;NO4
Alstahaug;1820;0;3454;0;0;394;0 %;-0,026;0,06;-0,076;-0,017;5533803;7143042;7369237;20046082;5679096;6741470;7977775;20398341;Nordland;NO4
Leirfjord;1822;0;1134;0;0;500;0 %;-0,008;0,11;-0,051;0,014;2157997;2829989;2884146;7872132;2175062;2549069;3039737;7763868;Nordland;NO4
